achat_id,client_id,produit,categorie,quantite,prix_unitaire,montant_total,date_achat,statut,mode_paiement
1,696,Webcam HD,Accessoires,1,84.02,84.02,2024-08-21,en cours,carte
2,398,Chargeur Rapide,Accessoires,1,43.65,43.65,2025-04-19,annulé,carte
3,38,Disque SSD 1To,Stockage,1,112.24,112.24,2024-10-31,annulé,carte
4,127,Hub USB,Accessoires,2,63.11,126.22,2024-01-26,livré,virement
5,1280,Câble USB-C,Accessoires,3,20.5,61.5,2024-09-11,livré,paypal
6,114,Disque SSD 2To,Stockage,2,193.46,386.92,2024-05-09,livré,virement
7,119,Hub USB,Accessoires,1,58.42,58.42,2025-10-06,livré,carte
8,185,Casque Audio Pro,Audio,1,293.06,293.06,2025-03-22,en cours,virement
9,85,Hub USB,Accessoires,3,60.85,182.55,2025-08-03,livré,carte
10,1027,Montre Connectée,Électronique,4,346.53,1386.12,2025-02-12,livré,carte
11,354,Smartphone X,Électronique,1,888.79,888.79,2025-05-11,livré,virement
12,326,Chargeur Rapide,Accessoires,1,38.25,38.25,2024-06-14,livré,carte
13,108,Câble USB-C,Accessoires,1,18.37,18.37,2025-09-11,annulé,paypal
14,39,Câble USB-C,Accessoires,1,20.64,20.64,2025-11-26,livré,carte
15,1431,Coque Protection,Accessoires,1,31.24,31.24,2025-11-02,livré,carte
16,1318,Câble USB-C,Accessoires,2,20.67,41.34,2025-06-25,annulé,virement
17,109,Imprimante Laser,Électronique,1,243.12,243.12,2025-03-16,livré,carte
18,996,Souris Gaming,Accessoires,1,74.19,74.19,2024-06-06,livré,carte
19,208,Imprimante Laser,Électronique,2,266.75,533.5,2024-05-07,en cours,carte
20,1266,Montre Connectée,Électronique,1,325.79,325.79,2024-09-01,livré,virement
21,340,Hub USB,Accessoires,1,58.36,58.36,2024-04-02,annulé,carte
22,1251,Disque SSD 2To,Stockage,2,200.77,401.54,2025-02-12,livré,virement
23,121,Souris Gaming,Accessoires,1,87.14,87.14,2025-12-10,livré,paypal
24,783,Imprimante Laser,Électronique,1,273.3,273.3,2024-02-17,livré,virement
25,65,Smartphone X,Électronique,1,967.33,967.33,2024-04-22,en cours,carte
26,1057,Écouteurs Sans Fil,Électronique,1,210.51,210.51,2024-09-30,livré,paypal
27,302,Support Laptop,Accessoires,1,54.09,54.09,2024-03-10,livré,carte
28,850,Smartphone X,Électronique,1,877.3,877.3,2025-10-17,livré,carte
29,58,Câble USB-C,Accessoires,4,21.35,85.4,2025-11-28,annulé,carte
30,282,Smartphone X,Électronique,1,959.35,959.35,2025-05-15,annulé,carte
31,961,Hub USB,Accessoires,1,64.86,64.86,2024-06-15,livré,carte
32,39,Routeur WiFi 6,Réseau,4,153.26,613.04,2024-05-18,livré,carte
33,487,Disque SSD 2To,Stockage,1,180.05,180.05,2026-01-13,annulé,virement
34,228,Écran 27 pouces,Électronique,1,361.31,361.31,2024-07-08,en cours,virement
35,37,Disque SSD 2To,Stockage,1,194.35,194.35,2025-11-22,livré,virement
36,1361,Tablette Air,Électronique,1,583.26,583.26,2025-08-06,en cours,virement
37,1040,Routeur WiFi 6,Réseau,1,161.19,161.19,2024-02-08,livré,paypal
38,520,Laptop Pro,Électronique,1,1187.56,1187.56,2025-10-22,livré,carte
39,681,Montre Connectée,Électronique,1,353.21,353.21,2025-12-10,annulé,carte
40,1403,Hub USB,Accessoires,5,59.73,298.65,2024-04-18,livré,carte
41,118,Smartphone X,Électronique,1,817.88,817.88,2025-12-12,livré,carte
42,636,Imprimante Laser,Électronique,1,265.76,265.76,2024-02-07,livré,carte
43,49,Disque SSD 2To,Stockage,1,200.66,200.66,2025-10-15,annulé,carte
44,95,Support Laptop,Accessoires,3,52.42,157.26,2025-10-05,livré,carte
45,1017,Écran 27 pouces,Électronique,1,423.77,423.77,2024-06-20,livré,carte
46,162,Support Laptop,Accessoires,1,53.21,53.21,2024-02-24,en cours,carte
47,164,Câble USB-C,Accessoires,1,19.22,19.22,2024-12-05,en cours,paypal
48,114,Chargeur Rapide,Accessoires,1,41.8,41.8,2024-06-13,livré,virement
49,563,Smartphone X,Électronique,1,924.74,924.74,2025-08-05,livré,virement
50,1392,Clavier Mécanique,Accessoires,4,120.7,482.8,2025-03-26,en cours,paypal
51,18,Webcam HD,Accessoires,2,87.58,175.16,2024-04-20,livré,virement
52,40,Hub USB,Accessoires,4,58.45,233.8,2025-12-28,livré,virement
53,94,Coque Protection,Accessoires,1,28.66,28.66,2025-01-24,livré,carte
54,1023,Imprimante Laser,Électronique,1,253.07,253.07,2025-03-17,livré,carte
55,440,Casque Audio Pro,Audio,1,324.98,324.98,2025-01-31,livré,carte
56,19,Hub USB,Accessoires,1,62.55,62.55,2024-05-18,livré,carte
57,1454,Tablette Air,Électronique,1,574.83,574.83,2024-06-21,livré,carte
58,1435,Clavier Mécanique,Accessoires,2,130.22,260.44,2025-12-07,livré,carte
59,485,Écran 27 pouces,Électronique,1,404.31,404.31,2025-07-14,livré,paypal
60,1130,Montre Connectée,Électronique,1,321.03,321.03,2024-10-07,livré,paypal
61,1473,Écran 27 pouces,Électronique,1,421.52,421.52,2026-01-16,en cours,carte
62,82,Tablette Air,Électronique,1,621.6,621.6,2024-11-18,livré,carte
63,1130,Enceinte Bluetooth,Audio,1,87.45,87.45,2024-06-21,livré,virement
64,114,Écouteurs Sans Fil,Électronique,1,192.16,192.16,2024-03-26,livré,carte
65,462,Chargeur Rapide,Accessoires,4,40.14,160.56,2025-01-24,livré,carte
66,142,Disque SSD 1To,Stockage,1,105.65,105.65,2025-01-03,en cours,carte
67,346,Enceinte Bluetooth,Audio,4,74.46,297.84,2025-01-25,annulé,virement
68,1240,Câble USB-C,Accessoires,2,20.24,40.48,2025-12-10,livré,carte
69,148,Disque SSD 1To,Stockage,1,115.86,115.86,2024-01-31,livré,virement
70,1020,Routeur WiFi 6,Réseau,1,163.69,163.69,2024-10-23,livré,carte
71,1403,Coque Protection,Accessoires,1,27.43,27.43,2024-11-22,livré,carte
72,992,Hub USB,Accessoires,1,61.27,61.27,2025-12-22,livré,carte
73,708,Coque Protection,Accessoires,1,29.21,29.21,2024-04-02,en cours,carte
74,956,Écouteurs Sans Fil,Électronique,1,189.91,189.91,2024-10-09,livré,carte
75,99,Casque Audio Pro,Audio,1,327.75,327.75,2024-09-02,livré,carte
76,1477,Câble USB-C,Accessoires,1,18.63,18.63,2024-03-07,en cours,paypal
77,632,Écran 27 pouces,Électronique,1,435.61,435.61,2025-12-11,en cours,paypal
78,441,Enceinte Bluetooth,Audio,1,72.8,72.8,2025-05-10,livré,virement
79,1340,Écran 27 pouces,Électronique,1,360.65,360.65,2024-07-05,livré,paypal
80,68,Chargeur Rapide,Accessoires,2,38.92,77.84,2025-06-15,livré,carte
81,399,Chargeur Rapide,Accessoires,1,36.58,36.58,2025-05-09,en cours,paypal
82,573,Casque Audio Pro,Audio,1,277.12,277.12,2025-09-03,livré,paypal
83,695,Routeur WiFi 6,Réseau,4,157.64,630.56,2025-10-21,livré,virement
84,1025,Smartphone X,Électronique,1,834.66,834.66,2024-01-31,livré,paypal
85,306,Casque Audio Pro,Audio,3,278.38,835.14,2025-12-24,en cours,carte
86,77,Enceinte Bluetooth,Audio,1,85.24,85.24,2025-07-06,en cours,paypal
87,614,Écran 27 pouces,Électronique,2,389.46,778.92,2025-11-05,annulé,carte
88,1196,Disque SSD 2To,Stockage,2,198.55,397.1,2024-02-22,annulé,carte
89,544,Enceinte Bluetooth,Audio,1,83.53,83.53,2025-09-30,en cours,paypal
90,98,Montre Connectée,Électronique,2,331.94,663.88,2024-05-28,en cours,carte
91,113,Câble USB-C,Accessoires,1,19.64,19.64,2024-01-26,livré,paypal
92,1253,Écran 27 pouces,Électronique,3,418.86,1256.58,2025-02-02,livré,carte
93,1149,Câble USB-C,Accessoires,5,19.9,99.5,2024-05-01,livré,carte
94,942,Routeur WiFi 6,Réseau,1,145.62,145.62,2024-12-28,annulé,carte
95,394,Webcam HD,Accessoires,1,86.36,86.36,2024-02-17,livré,carte
96,1414,Écran 27 pouces,Électronique,1,387.89,387.89,2025-03-30,annulé,carte
97,147,Routeur WiFi 6,Réseau,1,164.39,164.39,2024-06-21,livré,carte
98,74,Tablette Air,Électronique,1,593.08,593.08,2025-07-13,livré,paypal
99,138,Disque SSD 1To,Stockage,4,114.31,457.24,2024-08-21,livré,carte
100,1202,Webcam HD,Accessoires,1,93.05,93.05,2025-04-15,en cours,carte
101,108,Écouteurs Sans Fil,Électronique,1,208.68,208.68,2025-09-12,livré,carte
102,141,Clavier Mécanique,Accessoires,1,141.3,141.3,2024-11-21,livré,paypal
103,589,Câble USB-C,Accessoires,1,18.23,18.23,2024-05-26,livré,virement
104,10,Clavier Mécanique,Accessoires,1,138.77,138.77,2025-02-02,livré,paypal
105,382,Disque SSD 2To,Stockage,3,171.34,514.02,2024-05-09,en cours,virement
106,86,Disque SSD 2To,Stockage,1,195.36,195.36,2025-09-02,en cours,paypal
107,275,Imprimante Laser,Électronique,1,234.63,234.63,2025-05-22,livré,carte
108,118,Disque SSD 1To,Stockage,2,99.3,198.6,2024-10-12,livré,carte
109,396,Clavier Mécanique,Accessoires,1,133.6,133.6,2025-11-26,livré,paypal
110,178,Coque Protection,Accessoires,1,28.1,28.1,2025-08-16,livré,paypal
111,509,Laptop Pro,Électronique,1,1231.23,1231.23,2024-02-10,livré,carte
112,1481,Enceinte Bluetooth,Audio,1,82.45,82.45,2024-06-17,annulé,carte
113,31,Hub USB,Accessoires,1,58.86,58.86,2024-11-10,en cours,carte
114,1309,Disque SSD 2To,Stockage,1,179.38,179.38,2024-10-18,livré,paypal
115,96,Support Laptop,Accessoires,2,54.12,108.24,2025-09-26,en cours,carte
116,1394,Casque Audio Pro,Audio,3,274.9,824.7,2025-04-18,livré,virement
117,160,Enceinte Bluetooth,Audio,1,85.25,85.25,2024-02-09,en cours,carte
118,307,Clavier Mécanique,Accessoires,1,130.52,130.52,2024-02-07,livré,carte
119,1002,Tablette Air,Électronique,3,593.45,1780.35,2024-02-09,livré,paypal
120,107,Hub USB,Accessoires,1,60.7,60.7,2024-12-28,annulé,carte
121,811,Disque SSD 1To,Stockage,2,115.4,230.8,2025-07-10,en cours,carte
122,89,Tablette Air,Électronique,1,547.22,547.22,2024-05-04,livré,paypal
123,105,Clavier Mécanique,Accessoires,2,136.9,273.8,2024-11-12,annulé,paypal
124,784,Hub USB,Accessoires,3,64.87,194.61,2025-02-17,livré,carte
125,1356,Routeur WiFi 6,Réseau,1,160.8,160.8,2025-07-30,livré,carte
126,805,Imprimante Laser,Électronique,1,273.93,273.93,2025-07-01,livré,carte
127,949,Routeur WiFi 6,Réseau,1,146.37,146.37,2024-05-23,livré,carte
128,318,Disque SSD 1To,Stockage,1,118.24,118.24,2024-04-02,livré,carte
129,859,Casque Audio Pro,Audio,2,323.01,646.02,2024-09-30,livré,carte
130,26,Casque Audio Pro,Audio,1,305.86,305.86,2024-06-30,annulé,carte
131,12,Coque Protection,Accessoires,1,30.23,30.23,2024-11-21,livré,carte
132,593,Webcam HD,Accessoires,2,94.16,188.32,2024-03-08,livré,virement
133,1378,Câble USB-C,Accessoires,1,21.49,21.49,2025-12-28,annulé,virement
134,77,Disque SSD 1To,Stockage,1,119.86,119.86,2024-12-24,annulé,carte
135,875,Routeur WiFi 6,Réseau,1,164.16,164.16,2024-11-18,annulé,paypal
136,653,Support Laptop,Accessoires,1,47.99,47.99,2025-11-06,livré,virement
137,462,Disque SSD 2To,Stockage,3,176.48,529.44,2024-12-06,livré,carte
138,854,Routeur WiFi 6,Réseau,1,146.64,146.64,2025-10-07,livré,carte
139,162,Hub USB,Accessoires,2,55.1,110.2,2025-09-02,annulé,carte
140,97,Casque Audio Pro,Audio,1,322.41,322.41,2024-01-20,livré,virement
141,1145,Souris Gaming,Accessoires,1,85.9,85.9,2025-01-02,livré,carte
142,32,Souris Gaming,Accessoires,4,87.38,349.52,2025-11-07,livré,paypal
143,1425,Casque Audio Pro,Audio,2,293.79,587.58,2024-07-25,livré,virement
144,580,Coque Protection,Accessoires,1,30.88,30.88,2024-09-12,livré,carte
145,1019,Hub USB,Accessoires,1,65.76,65.76,2025-02-17,livré,carte
146,760,Câble USB-C,Accessoires,1,20.24,20.24,2025-12-19,livré,carte
147,142,Enceinte Bluetooth,Audio,1,78.67,78.67,2025-05-22,livré,carte
148,778,Enceinte Bluetooth,Audio,2,79.98,159.96,2024-03-30,annulé,carte
149,126,Écran 27 pouces,Électronique,1,418.61,418.61,2025-01-14,livré,carte
150,140,Écran 27 pouces,Électronique,1,431.14,431.14,2025-09-18,annulé,carte
151,153,Smartphone X,Électronique,2,884.22,1768.44,2025-03-12,annulé,carte
152,39,Laptop Pro,Électronique,1,1288.55,1288.55,2024-04-20,livré,virement
153,1263,Écran 27 pouces,Électronique,1,361.25,361.25,2025-01-30,en cours,virement
154,35,Imprimante Laser,Électronique,2,251.78,503.56,2025-08-30,livré,carte
155,1430,Support Laptop,Accessoires,2,54.09,108.18,2024-05-03,livré,carte
156,494,Souris Gaming,Accessoires,1,76.03,76.03,2025-05-15,livré,carte
157,162,Chargeur Rapide,Accessoires,4,39.66,158.64,2025-07-16,livré,carte
158,21,Smartphone X,Électronique,1,878.26,878.26,2025-06-27,en cours,paypal
159,3,Clavier Mécanique,Accessoires,1,138.97,138.97,2024-08-13,annulé,carte
160,196,Imprimante Laser,Électronique,3,236.48,709.44,2025-04-13,annulé,virement
161,96,Tablette Air,Électronique,1,573.64,573.64,2024-07-20,en cours,virement
162,368,Câble USB-C,Accessoires,1,18.82,18.82,2024-07-21,livré,paypal
163,613,Clavier Mécanique,Accessoires,1,131.72,131.72,2025-07-06,livré,virement
164,287,Tablette Air,Électronique,1,656.91,656.91,2024-08-27,livré,carte
165,156,Câble USB-C,Accessoires,1,20.45,20.45,2025-06-22,en cours,paypal
166,669,Laptop Pro,Électronique,1,1373.71,1373.71,2024-12-22,livré,paypal
167,142,Coque Protection,Accessoires,1,31.07,31.07,2025-03-26,annulé,paypal
168,76,Webcam HD,Accessoires,2,82.47,164.94,2025-01-31,livré,paypal
169,1299,Montre Connectée,Électronique,2,337.16,674.32,2026-01-10,livré,carte
170,79,Hub USB,Accessoires,1,57.23,57.23,2024-08-01,livré,carte
171,115,Routeur WiFi 6,Réseau,1,147.23,147.23,2025-11-07,livré,carte
172,191,Casque Audio Pro,Audio,1,289.46,289.46,2024-09-15,livré,carte
173,100,Tablette Air,Électronique,2,607.13,1214.26,2024-10-19,livré,virement
174,1404,Coque Protection,Accessoires,1,28.6,28.6,2024-05-05,livré,paypal
175,43,Support Laptop,Accessoires,1,47.99,47.99,2025-07-11,livré,carte
176,64,Écran 27 pouces,Électronique,1,375.63,375.63,2025-10-02,livré,carte
177,811,Câble USB-C,Accessoires,2,19.51,39.02,2025-07-19,livré,paypal
178,1334,Casque Audio Pro,Audio,1,289.23,289.23,2025-08-26,annulé,carte
179,364,Coque Protection,Accessoires,4,28.74,114.96,2025-04-25,annulé,paypal
180,497,Câble USB-C,Accessoires,1,21.26,21.26,2025-08-22,livré,carte
181,145,Souris Gaming,Accessoires,1,80.72,80.72,2026-01-05,annulé,virement
182,119,Souris Gaming,Accessoires,1,76.65,76.65,2024-01-30,annulé,carte
183,838,Écran 27 pouces,Électronique,1,384.22,384.22,2025-04-27,livré,carte
184,773,Tablette Air,Électronique,1,611.74,611.74,2025-09-21,en cours,paypal
185,1417,Support Laptop,Accessoires,1,52.9,52.9,2024-07-11,livré,virement
186,175,Écouteurs Sans Fil,Électronique,2,206.29,412.58,2024-11-05,livré,carte
187,91,Enceinte Bluetooth,Audio,5,82.83,414.15,2024-01-28,livré,carte
188,882,Écouteurs Sans Fil,Électronique,1,190.34,190.34,2025-01-05,en cours,virement
189,1409,Enceinte Bluetooth,Audio,1,77.98,77.98,2025-10-07,livré,virement
190,309,Chargeur Rapide,Accessoires,5,39.85,199.25,2024-06-05,livré,paypal
191,176,Écouteurs Sans Fil,Électronique,2,209.2,418.4,2025-10-16,livré,carte
192,424,Imprimante Laser,Électronique,1,248.8,248.8,2025-12-29,livré,paypal
193,615,Smartphone X,Électronique,2,830.71,1661.42,2024-11-11,livré,carte
194,337,Webcam HD,Accessoires,1,90.92,90.92,2026-01-14,livré,virement
195,947,Webcam HD,Accessoires,2,92.33,184.66,2024-12-16,livré,paypal
196,1258,Souris Gaming,Accessoires,1,78.86,78.86,2024-07-30,livré,carte
197,17,Enceinte Bluetooth,Audio,1,85.94,85.94,2024-12-06,livré,carte
198,938,Écouteurs Sans Fil,Électronique,1,214.49,214.49,2025-07-17,en cours,carte
199,1252,Coque Protection,Accessoires,1,29.08,29.08,2025-05-13,livré,virement
200,77,Casque Audio Pro,Audio,1,310.32,310.32,2025-01-30,livré,carte
201,30,Clavier Mécanique,Accessoires,1,120.67,120.67,2024-09-22,livré,paypal
202,1178,Coque Protection,Accessoires,1,29.91,29.91,2026-01-17,en cours,carte
203,1003,Disque SSD 2To,Stockage,1,182.94,182.94,2024-06-04,livré,virement
204,92,Laptop Pro,Électronique,1,1220.72,1220.72,2024-09-25,livré,virement
205,1014,Support Laptop,Accessoires,1,49.15,49.15,2025-10-18,livré,paypal
